Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
58,1996-04-03,STL,@,COL,W,,Wayne Gretzky,35,,,Patrick Roy,2,7:54,PP,,McNichols Sports Arena
59,1996-03-28,STL,,NJD,T,OT,Wayne Gretzky,35,,,Martin Brodeur,1,6:39,SH,,Kiel Center
60,1996-03-24,STL,,DET,T,OT,Wayne Gretzky,35,,,Chris Osgood,1,15:55,EV,,Kiel Center
61,1996-03-18,STL,@,LAK,W,,Wayne Gretzky,35,Stephane Matteau,Brett Hull,Kelly Hrudey,2,7:00,EV,,Great Western Forum
62,1996-03-15,STL,@,SJS,W,,Wayne Gretzky,35,Brett Hull,Shayne Corson,Geoff Sarjeant,3,16:06,EV,,San Jose Arena
63,1996-03-09,STL,,HAR,W,,Wayne Gretzky,35,Al MacInnis,,Jason Muzzatti,2,15:52,EV,,Kiel Center
64,1996-03-09,STL,,HAR,W,,Wayne Gretzky,35,Chris Pronger,,,3,19:45,EV,EN,Kiel Center
65,1996-02-29,STL,@,VAN,T,OT,Wayne Gretzky,35,Stephane Matteau,Brett Hull,Kirk McLean,1,16:24,EV,,General Motors Place
66,1996-02-21,LAK,@,EDM,L,,Wayne Gretzky,35,Shane Churla,Dmitri Khristich,Curtis Joseph,1,8:27,EV,,Edmonton Coliseum
67,1996-01-27,LAK,,MDA,W,,Wayne Gretzky,35,Dmitri Khristich,Vitali Yachmenev,Guy Hebert,1,5:16,EV,,Great Western Forum
68,1996-01-06,LAK,,SJS,W,,Wayne Gretzky,34,Darryl Sydor,Tony Granato,Chris Terreri,1,11:03,PP,,Great Western Forum
69,1996-01-05,LAK,@,SJS,W,,Wayne Gretzky,34,Tony Granato,,,3,19:38,EV,EN,San Jose Arena
70,1996-01-03,LAK,,WIN,L,,Wayne Gretzky,34,Dmitri Khristich,Rick Tocchet,Tim Cheveldae,1,14:29,EV,,Great Western Forum
71,1995-12-29,LAK,@,EDM,L,OT,Wayne Gretzky,34,Eric Lacroix,Rick Tocchet,Bill Ranford,2,11:32,EV,,Edmonton Coliseum
72,1995-12-20,LAK,,VAN,T,OT,Wayne Gretzky,34,,,Kirk McLean,3,18:09,EV,,Great Western Forum
73,1995-12-06,LAK,,WIN,W,,Wayne Gretzky,34,Jari Kurri,Marty McSorley,Tim Cheveldae,2,10:19,PP,,Great Western Forum
74,1995-11-16,LAK,,NYI,W,,Wayne Gretzky,34,Vladimir Tsyplakov,Denis Tsygurov,Tommy Soderstrom,3,11:29,EV,,Great Western Forum
75,1995-11-14,LAK,,DET,L,,Wayne Gretzky,34,Dmitri Khristich,Rick Tocchet,Chris Osgood,3,19:33,EV,,Great Western Forum
76,1995-11-13,LAK,@,MDA,W,,Wayne Gretzky,34,Tony Granato,Aki Berg,Guy Hebert,2,15:53,EV,,Arrowhead Pond of Anaheim
77,1995-11-11,LAK,,PIT,W,,Wayne Gretzky,34,Vitali Yachmenev,Darryl Sydor,,3,18:55,EV,EN,Great Western Forum
78,1995-11-02,LAK,,NYR,W,,Wayne Gretzky,34,,,Mike Richter,3,7:34,PP,,Great Western Forum
79,1995-10-28,LAK,@,TOR,T,OT,Wayne Gretzky,34,Dmitri Khristich,Denis Tsygurov,Felix Potvin,3,8:10,PP,,Maple Leaf Gardens
80,1995-10-12,LAK,,VAN,T,OT,Wayne Gretzky,34,Rob Blake,Vitali Yachmenev,Kirk McLean,1,4:52,PP,,Great Western Forum
81,1995-04-30,LAK,,MDA,W,,Wayne Gretzky,34,Dan Quinn,,Guy Hebert,1,17:24,PP,,Great Western Forum
82,1995-04-06,LAK,,DAL,W,,Wayne Gretzky,34,Darryl Sydor,,Andy Moog,2,4:23,EV,,Great Western Forum
83,1995-04-01,LAK,,WIN,T,OT,Wayne Gretzky,34,Tony Granato,Eric Lacroix,Nikolai Khabibulin,1,1:24,EV,,Great Western Forum
84,1995-04-01,LAK,,WIN,T,OT,Wayne Gretzky,34,,,Nikolai Khabibulin,1,11:49,EV,,Great Western Forum
85,1995-03-20,LAK,,STL,W,,Wayne Gretzky,34,Darryl Sydor,,Curtis Joseph,1,10:06,EV,,Great Western Forum
86,1995-03-20,LAK,,STL,W,,Wayne Gretzky,34,Rob Cowie,Marty McSorley,Curtis Joseph,1,15:43,EV,,Great Western Forum
87,1995-03-13,LAK,@,TOR,W,,Wayne Gretzky,34,Rick Tocchet,Tony Granato,,3,19:33,EV,EN,Maple Leaf Gardens
88,1995-02-23,LAK,,CGY,T,OT,Wayne Gretzky,34,Kevin Brown,,Trevor Kidd,2,17:52,EV,,Great Western Forum
89,1995-02-18,LAK,,VAN,L,,Wayne Gretzky,34,Tony Granato,Jari Kurri,Kirk McLean,2,10:12,PP,,Great Western Forum
