Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
366,1987-01-24,EDM,,PIT,W,,Wayne Gretzky,25,Randy Gregg,Craig MacTavish,Gilles Meloche,2,11:11,SH,,Northlands Coliseum
367,1987-01-23,EDM,,NYR,W,,Wayne Gretzky,25,Esa Tikkanen,Steve Smith,John Vanbiesbrouck,1,9:25,PP,,Northlands Coliseum
368,1987-01-23,EDM,,NYR,W,,Wayne Gretzky,25,Steve Smith,Esa Tikkanen,John Vanbiesbrouck,2,9:47,PP,,Northlands Coliseum
369,1987-01-21,EDM,@,WIN,W,,Wayne Gretzky,25,Steve Smith,,Steve Penney,1,6:24,EV,,Winnipeg Arena
370,1987-01-21,EDM,@,WIN,W,,Wayne Gretzky,25,Kevin Lowe,,,3,19:53,EV,EN,Winnipeg Arena
371,1987-01-17,EDM,@,TOR,W,,Wayne Gretzky,25,Craig Muni,,,3,18:43,EV,EN,Maple Leaf Gardens
372,1987-01-15,EDM,@,QUE,W,,Wayne Gretzky,25,Kevin McClelland,,Clint Malarchuk,3,9:03,EV,,Quebec Coliseum
373,1987-01-13,EDM,@,DET,W,,Wayne Gretzky,25,Mark Messier,Glenn Anderson,Glen Hanlon,2,9:29,EV,,Joe Louis Arena
374,1987-01-03,EDM,@,LAK,W,,Wayne Gretzky,25,Randy Gregg,Jari Kurri,Bob Janecyk,2,13:59,SH,,Great Western Forum
375,1986-12-30,EDM,@,VAN,W,,Wayne Gretzky,25,Paul Coffey,Randy Gregg,Richard Brodeur,1,12:24,PP,,Pacific Coliseum
376,1986-12-30,EDM,@,VAN,W,,Wayne Gretzky,25,Esa Tikkanen,Glenn Anderson,Richard Brodeur,1,15:36,PP,,Pacific Coliseum
377,1986-12-28,EDM,,PHI,W,,Wayne Gretzky,25,,,Ron Hextall,2,14:42,EV,,Northlands Coliseum
378,1986-12-28,EDM,,PHI,W,,Wayne Gretzky,25,Randy Gregg,Jari Kurri,Ron Hextall,3,16:29,EV,,Northlands Coliseum
379,1986-12-20,EDM,,LAK,T,OT,Wayne Gretzky,25,Jari Kurri,Mike Krushelnyski,Darren Eliot,1,8:36,EV,,Northlands Coliseum
380,1986-12-20,EDM,,LAK,T,OT,Wayne Gretzky,25,Mike Krushelnyski,Jari Kurri,Darren Eliot,2,13:46,EV,,Northlands Coliseum
381,1986-12-19,EDM,,VAN,W,,Wayne Gretzky,25,Jari Kurri,Mark Messier,,3,19:50,EV,EN,Northlands Coliseum
382,1986-12-19,EDM,,VAN,W,,Wayne Gretzky,25,Mark Messier,Jari Kurri,Richard Brodeur,3,13:15,PP,,Northlands Coliseum
383,1986-12-17,EDM,,QUE,W,,Wayne Gretzky,25,Esa Tikkanen,Craig Muni,Richard Sevigny,1,1:28,EV,,Northlands Coliseum
384,1986-12-17,EDM,,QUE,W,,Wayne Gretzky,25,,,Richard Sevigny,1,11:31,EV,,Northlands Coliseum
385,1986-12-17,EDM,,QUE,W,,Wayne Gretzky,25,Esa Tikkanen,Jari Kurri,Richard Sevigny,1,12:38,EV,,Northlands Coliseum
386,1986-12-17,EDM,,QUE,W,,Wayne Gretzky,25,Kevin Lowe,Mark Messier,Richard Sevigny,2,16:05,SH,,Northlands Coliseum
387,1986-12-10,EDM,@,WIN,W,,Wayne Gretzky,25,Jari Kurri,Esa Tikkanen,Daniel Berthiaume,1,7:56,EV,,Winnipeg Arena
388,1986-12-10,EDM,@,WIN,W,,Wayne Gretzky,25,Esa Tikkanen,Steve Smith,Daniel Berthiaume,2,1:47,EV,,Winnipeg Arena
389,1986-12-10,EDM,@,WIN,W,,Wayne Gretzky,25,Mark Messier,Kevin Lowe,Daniel Berthiaume,1,0:30,SH,,Winnipeg Arena
390,1986-12-09,EDM,@,MNS,W,,Wayne Gretzky,25,Esa Tikkanen,Randy Gregg,Don Beaupre,2,14:01,PP,,Metropolitan Sports Center
391,1986-12-07,EDM,@,PHI,L,,Wayne Gretzky,25,Esa Tikkanen,Glenn Anderson,Ron Hextall,2,1:32,EV,,The Spectrum
392,1986-12-03,EDM,,NYI,W,,Wayne Gretzky,25,Esa Tikkanen,,Kelly Hrudey,3,16:37,EV,,Northlands Coliseum
393,1986-11-26,EDM,,WIN,W,,Wayne Gretzky,25,Esa Tikkanen,Glenn Anderson,Pokey Reddick,3,1:43,EV,,Northlands Coliseum
394,1986-11-24,EDM,@,CGY,L,,Wayne Gretzky,25,Glenn Anderson,Paul Coffey,Mike Vernon,3,6:30,EV,,Olympic Saddledome
395,1986-11-22,EDM,,VAN,W,,Wayne Gretzky,25,Esa Tikkanen,Glenn Anderson,Troy Gamble,1,1:37,EV,,Northlands Coliseum
396,1986-11-22,EDM,,VAN,W,,Wayne Gretzky,25,Kevin Lowe,Craig Muni,Troy Gamble,2,1:40,EV,,Northlands Coliseum
397,1986-11-22,EDM,,VAN,W,,Wayne Gretzky,25,Charlie Huddy,Jari Kurri,,3,19:42,EV,EN,Northlands Coliseum
398,1986-11-19,EDM,,NYR,W,OT,Wayne Gretzky,25,Paul Coffey,Mike Krushelnyski,John Vanbiesbrouck,1,17:37,EV,,Northlands Coliseum
399,1986-11-16,EDM,@,NYR,W,,Wayne Gretzky,25,Kevin Lowe,,Doug Soetaert,2,14:39,EV,,Madison Square Garden (IV)
400,1986-11-13,EDM,@,BOS,L,OT,Wayne Gretzky,25,Craig MacTavish,Craig Muni,Doug Keans,3,6:37,EV,,Boston Garden
401,1986-11-07,EDM,@,CGY,L,,Wayne Gretzky,25,Paul Coffey,Mark Messier,Mike Vernon,3,15:26,PP,,Olympic Saddledome
402,1986-11-05,EDM,,CGY,L,,Wayne Gretzky,25,Mike Krushelnyski,Kevin Lowe,Mike Vernon,2,3:39,EV,,Northlands Coliseum
403,1986-10-31,EDM,@,VAN,W,,Wayne Gretzky,25,,,Richard Brodeur,3,14:08,EV,,Pacific Coliseum
404,1986-10-31,EDM,@,VAN,W,,Wayne Gretzky,25,Mark Messier,Charlie Huddy,Richard Brodeur,3,12:22,SH,,Pacific Coliseum
405,1986-10-29,EDM,,WSH,W,,Wayne Gretzky,25,Paul Coffey,Charlie Huddy,,3,19:04,EV,EN,Northlands Coliseum
406,1986-10-24,EDM,,BOS,W,,Wayne Gretzky,25,Mark Messier,,Pat Riggin,1,5:26,SH,,Northlands Coliseum
407,1986-10-24,EDM,,BOS,W,,Wayne Gretzky,25,Lee Fogolin,Jari Kurri,Doug Keans,2,19:04,EV,,Northlands Coliseum
408,1986-10-24,EDM,,BOS,W,,Wayne Gretzky,25,Mark Messier,,Pat Riggin,1,17:28,PP,,Northlands Coliseum
409,1986-10-21,EDM,,CHI,W,,Wayne Gretzky,25,Dave Hunter,Glenn Anderson,Bob Sauve,1,9:35,EV,,Northlands Coliseum
410,1986-10-21,EDM,,CHI,W,,Wayne Gretzky,25,Mike Krushelnyski,,Bob Sauve,3,12:44,EV,,Northlands Coliseum
411,1986-10-12,EDM,@,WIN,L,,Wayne Gretzky,25,Mark Messier,Charlie Huddy,Pokey Reddick,2,8:28,EV,,Winnipeg Arena
412,1986-10-11,EDM,@,MTL,W,OT,Wayne Gretzky,25,Glenn Anderson,Mark Messier,Patrick Roy,2,1:27,PP,,Montreal Forum
413,1986-10-11,EDM,@,MTL,W,OT,Wayne Gretzky,25,Paul Coffey,,Patrick Roy,2,19:53,PP,,Montreal Forum
414,1986-04-02,EDM,,VAN,W,,Wayne Gretzky,25,Jari Kurri,Paul Coffey,Wendell Young,3,1:26,PP,,Northlands Coliseum
415,1986-03-26,EDM,@,PIT,W,,Wayne Gretzky,25,Mark Napier,,Roberto Romano,3,11:10,EV,,Pittsburgh Civic Arena
416,1986-03-18,EDM,,WIN,W,,Wayne Gretzky,25,Paul Coffey,,Brian Hayward,2,18:00,EV,,Northlands Coliseum
417,1986-03-14,EDM,,DET,W,,Wayne Gretzky,25,Glenn Anderson,,Eddie Mio,3,19:03,EV,,Northlands Coliseum
418,1986-03-09,EDM,@,LAK,W,,Wayne Gretzky,25,Glenn Anderson,,Roland Melanson,2,3:52,EV,,Great Western Forum
419,1986-03-05,EDM,,LAK,W,,Wayne Gretzky,25,Lee Fogolin,,Roland Melanson,3,8:19,EV,,Northlands Coliseum
420,1986-03-05,EDM,,LAK,W,,Wayne Gretzky,25,Paul Coffey,Randy Gregg,Roland Melanson,2,16:19,PP,,Northlands Coliseum
421,1986-02-26,EDM,@,WIN,W,,Wayne Gretzky,25,Jari Kurri,Randy Gregg,Brian Hayward,3,4:12,EV,,Winnipeg Arena
422,1986-02-26,EDM,@,WIN,W,,Wayne Gretzky,25,Jari Kurri,Charlie Huddy,Marc Behrend,3,8:37,EV,,Winnipeg Arena
423,1986-02-24,EDM,,MTL,W,,Wayne Gretzky,25,Jari Kurri,Charlie Huddy,Patrick Roy,1,8:30,EV,,Northlands Coliseum
424,1986-02-22,EDM,,BOS,L,OT,Wayne Gretzky,25,Glenn Anderson,Dave Lumley,Pat Riggin,2,9:47,EV,,Northlands Coliseum
425,1986-02-19,EDM,,TOR,W,,Wayne Gretzky,25,Jari Kurri,Paul Coffey,Ken Wregget,3,19:11,EV,,Northlands Coliseum
426,1986-02-19,EDM,,TOR,W,,Wayne Gretzky,25,Mark Messier,,Ken Wregget,2,14:31,SH,,Northlands Coliseum
427,1986-02-16,EDM,,BUF,W,,Wayne Gretzky,25,Paul Coffey,Andy Moog,Jacques Cloutier,1,11:53,EV,,Northlands Coliseum
428,1986-01-25,EDM,,LAK,W,,Wayne Gretzky,24,Jari Kurri,Mike Krushelnyski,Darren Eliot,1,15:48,EV,,Northlands Coliseum
429,1986-01-24,EDM,,NJD,W,OT,Wayne Gretzky,24,,,Craig Billington,OT,1:29,EV,,Northlands Coliseum
430,1986-01-22,EDM,,PIT,L,,Wayne Gretzky,24,Don Jackson,Randy Gregg,Gilles Meloche,1,19:13,EV,,Northlands Coliseum
431,1986-01-15,EDM,@,HAR,W,,Wayne Gretzky,24,Paul Coffey,,Mike Liut,2,6:44,EV,,Hartford Civic Center
432,1986-01-15,EDM,@,HAR,W,,Wayne Gretzky,24,Don Jackson,,,3,19:45,EV,EN,Hartford Civic Center
433,1986-01-13,EDM,@,BOS,W,,Wayne Gretzky,24,Glenn Anderson,Mark Messier,Pat Riggin,1,7:15,PP,,Boston Garden
434,1986-01-11,EDM,@,MTL,W,,Wayne Gretzky,24,,,Doug Soetaert,3,19:10,EV,,Montreal Forum
435,1986-01-08,EDM,@,TOR,L,,Wayne Gretzky,24,Jari Kurri,Paul Coffey,Tim Bernhardt,1,14:03,EV,,Maple Leaf Gardens
436,1986-01-08,EDM,@,TOR,L,,Wayne Gretzky,24,Jari Kurri,Paul Coffey,Tim Bernhardt,2,4:58,EV,,Maple Leaf Gardens
437,1986-01-08,EDM,@,TOR,L,,Wayne Gretzky,24,Glenn Anderson,Jari Kurri,Tim Bernhardt,2,15:10,EV,,Maple Leaf Gardens
438,1986-01-05,EDM,,CGY,W,,Wayne Gretzky,24,Jari Kurri,,Reggie Lemelin,1,8:51,EV,,Northlands Coliseum
439,1986-01-02,EDM,@,CGY,W,,Wayne Gretzky,24,Paul Coffey,Grant Fuhr,Reggie Lemelin,2,3:35,SH,,Olympic Saddledome
440,1985-12-31,EDM,,PHI,W,,Wayne Gretzky,24,Craig MacTavish,,Bob Froese,2,8:34,EV,,Northlands Coliseum
441,1985-12-31,EDM,,PHI,W,,Wayne Gretzky,24,Jari Kurri,,Bob Froese,2,12:31,EV,,Northlands Coliseum
442,1985-12-31,EDM,,PHI,W,,Wayne Gretzky,24,Jari Kurri,Charlie Huddy,Bob Froese,3,8:17,EV,,Northlands Coliseum
443,1985-12-22,EDM,,WIN,L,,Wayne Gretzky,24,Paul Coffey,Charlie Huddy,Brian Hayward,3,11:23,EV,,Northlands Coliseum
444,1985-12-22,EDM,,WIN,L,,Wayne Gretzky,24,Jari Kurri,Paul Coffey,Brian Hayward,2,14:25,PP,,Northlands Coliseum
445,1985-12-13,EDM,@,WIN,W,,Wayne Gretzky,24,,,Marc Behrend,3,17:14,EV,,Winnipeg Arena
446,1985-12-13,EDM,@,WIN,W,,Wayne Gretzky,24,,,Marc Behrend,3,18:12,EV,,Winnipeg Arena
447,1985-12-07,EDM,,MNS,W,,Wayne Gretzky,24,Glenn Anderson,Steve Smith,Don Beaupre,1,15:03,PP,,Northlands Coliseum
448,1985-11-30,EDM,,HAR,W,,Wayne Gretzky,24,Lee Fogolin,,Steve Weeks,2,8:19,EV,,Northlands Coliseum
449,1985-11-27,EDM,,VAN,T,OT,Wayne Gretzky,24,Charlie Huddy,Dave Semenko,Richard Brodeur,2,1:17,EV,,Northlands Coliseum
450,1985-11-27,EDM,,VAN,T,OT,Wayne Gretzky,24,Glenn Anderson,Paul Coffey,Richard Brodeur,1,15:51,PP,,Northlands Coliseum
451,1985-11-20,EDM,@,MTL,W,OT,Wayne Gretzky,24,Mike Krushelnyski,Mark Messier,Steve Penney,2,13:41,EV,,Montreal Forum
452,1985-11-19,EDM,@,QUE,W,,Wayne Gretzky,24,Dave Semenko,Glenn Anderson,Clint Malarchuk,3,7:31,EV,,Quebec Coliseum
453,1985-11-16,EDM,@,NYI,T,OT,Wayne Gretzky,24,Jari Kurri,Kevin Lowe,Kelly Hrudey,1,12:53,PP,,Nassau Veterans Memorial Coliseum
454,1985-11-12,EDM,@,WSH,L,,Wayne Gretzky,24,Jari Kurri,,Al Jensen,3,3:00,PP,,Capital Center
455,1985-11-06,EDM,@,LAK,T,OT,Wayne Gretzky,24,Andy Moog,Glenn Anderson,Bob Janecyk,3,18:20,EV,,Great Western Forum
456,1985-11-05,EDM,@,VAN,W,,Wayne Gretzky,24,Paul Coffey,Jari Kurri,Richard Brodeur,1,12:43,EV,,Pacific Coliseum
457,1985-11-05,EDM,@,VAN,W,,Wayne Gretzky,24,Jari Kurri,Mark Messier,,3,19:38,EV,EN,Pacific Coliseum
458,1985-11-03,EDM,,TOR,W,,Wayne Gretzky,24,Paul Coffey,,Tim Bernhardt,1,10:26,EV,,Northlands Coliseum
459,1985-11-03,EDM,,TOR,W,,Wayne Gretzky,24,Mike Krushelnyski,,Tim Bernhardt,2,2:10,EV,,Northlands Coliseum
460,1985-11-03,EDM,,TOR,W,,Wayne Gretzky,24,Jari Kurri,Mark Messier,Tim Bernhardt,2,15:47,PP,,Northlands Coliseum
461,1985-10-28,EDM,@,CGY,W,,Wayne Gretzky,24,Jari Kurri,,Reggie Lemelin,2,14:00,EV,,Olympic Saddledome
462,1985-10-25,EDM,,CGY,W,,Wayne Gretzky,24,Lee Fogolin,,Marc D'Amour,2,3:47,SH,,Northlands Coliseum
463,1985-10-20,EDM,@,LAK,W,,Wayne Gretzky,24,Mike Krushelnyski,Paul Coffey,Bob Janecyk,1,15:21,PP,,Great Western Forum
464,1985-10-10,EDM,,WIN,W,,Wayne Gretzky,24,Kevin McClelland,Kevin Lowe,Brian Hayward,1,3:22,EV,,Northlands Coliseum
465,1985-10-10,EDM,,WIN,W,,Wayne Gretzky,24,Mike Krushelnyski,,Brian Hayward,3,3:52,PP,,Northlands Coliseum
466,1985-04-05,EDM,,CGY,T,OT,Wayne Gretzky,24,Paul Coffey,,Reggie Lemelin,1,2:40,EV,,Northlands Coliseum
467,1985-04-02,EDM,@,LAK,W,,Wayne Gretzky,24,Mark Napier,Mike Krushelnyski,Bob Janecyk,1,0:46,EV,,Great Western Forum
468,1985-04-02,EDM,@,LAK,W,,Wayne Gretzky,24,Mike Krushelnyski,Paul Coffey,Bob Janecyk,1,13:42,EV,,Great Western Forum
469,1985-04-02,EDM,@,LAK,W,,Wayne Gretzky,24,Mark Napier,,,3,19:52,EV,EN,Great Western Forum
470,1985-03-31,EDM,@,CBH,W,,Wayne Gretzky,24,Mark Napier,Paul Coffey,Warren Skorodenski,1,3:28,EV,,Chicago Stadium
471,1985-03-29,EDM,@,HAR,L,,Wayne Gretzky,24,Paul Coffey,Dave Hunter,Steve Weeks,1,1:46,EV,,Hartford Civic Center
472,1985-03-26,EDM,@,NYI,W,,Wayne Gretzky,24,Jari Kurri,,Kelly Hrudey,2,3:48,EV,,Nassau Veterans Memorial Coliseum
473,1985-03-22,EDM,,TOR,T,OT,Wayne Gretzky,24,Mark Messier,Kevin Lowe,Tim Bernhardt,3,6:32,SH,,Northlands Coliseum
474,1985-03-13,EDM,,DET,W,,Wayne Gretzky,24,Jari Kurri,Charlie Huddy,Corrado Micalef,1,17:10,EV,,Northlands Coliseum
475,1985-03-09,EDM,,NYR,T,OT,Wayne Gretzky,24,Kevin Lowe,Randy Gregg,Glen Hanlon,2,5:26,EV,,Northlands Coliseum
476,1985-03-03,EDM,,WIN,L,,Wayne Gretzky,24,Mike Krushelnyski,Jari Kurri,Brian Hayward,3,14:39,EV,,Northlands Coliseum
477,1985-02-27,EDM,,MTL,L,,Wayne Gretzky,24,Paul Coffey,,Doug Soetaert,2,18:15,EV,,Northlands Coliseum
478,1985-02-22,EDM,,QUE,W,,Wayne Gretzky,24,Mike Krushelnyski,Paul Coffey,Mario Gosselin,2,15:58,EV,,Northlands Coliseum
479,1985-02-19,EDM,@,TOR,W,,Wayne Gretzky,24,Mark Napier,Larry Melnyk,Ken Wregget,2,14:23,EV,,Maple Leaf Gardens
480,1985-02-19,EDM,@,TOR,W,,Wayne Gretzky,24,Don Jackson,Mike Krushelnyski,Tim Bernhardt,3,1:36,EV,,Maple Leaf Gardens
481,1985-02-18,EDM,@,BUF,W,,Wayne Gretzky,24,Jari Kurri,,Tom Barrasso,1,11:23,EV,,Buffalo Memorial Auditorium
482,1985-02-18,EDM,@,BUF,W,,Wayne Gretzky,24,Mike Krushelnyski,,Tom Barrasso,2,2:43,EV,,Buffalo Memorial Auditorium
483,1985-02-15,EDM,@,NYR,L,,Wayne Gretzky,24,Paul Coffey,Mike Krushelnyski,Glen Hanlon,1,2:14,EV,,Madison Square Garden (IV)
484,1985-02-15,EDM,@,NYR,L,,Wayne Gretzky,24,Jari Kurri,Don Jackson,Glen Hanlon,2,19:48,EV,,Madison Square Garden (IV)
485,1985-02-03,EDM,,HAR,W,,Wayne Gretzky,24,Paul Coffey,,Greg Millen,2,3:15,SH,,Northlands Coliseum
486,1985-01-28,EDM,,CGY,W,,Wayne Gretzky,24,Raimo Summanen,Jari Kurri,Reggie Lemelin,1,1:57,EV,,Northlands Coliseum
487,1985-01-26,EDM,,PIT,W,,Wayne Gretzky,24,Jari Kurri,,Denis Herron,1,12:48,EV,,Northlands Coliseum
488,1985-01-26,EDM,,PIT,W,,Wayne Gretzky,24,Raimo Summanen,Charlie Huddy,Denis Herron,2,17:27,EV,,Northlands Coliseum
489,1985-01-26,EDM,,PIT,W,,Wayne Gretzky,24,Jari Kurri,,Denis Herron,2,4:25,SH,,Northlands Coliseum
490,1985-01-25,EDM,,NJD,W,,Wayne Gretzky,23,Mike Krushelnyski,Jari Kurri,Ron Low,2,14:04,EV,,Northlands Coliseum
491,1985-01-21,EDM,,LAK,W,,Wayne Gretzky,23,Pat Hughes,,Bob Janecyk,3,0:56,SH,,Northlands Coliseum
492,1985-01-19,EDM,,VAN,W,,Wayne Gretzky,23,Gord Sherven,Lee Fogolin,Richard Brodeur,2,4:26,EV,,Northlands Coliseum
493,1985-01-18,EDM,@,VAN,T,OT,Wayne Gretzky,23,Paul Coffey,Charlie Huddy,Richard Brodeur,2,15:21,EV,,Pacific Coliseum
494,1985-01-16,EDM,,NYI,T,OT,Wayne Gretzky,23,Mike Krushelnyski,Glenn Anderson,Kelly Hrudey,1,12:38,PP,,Northlands Coliseum
495,1985-01-13,EDM,@,BUF,W,,Wayne Gretzky,23,Paul Coffey,,Tom Barrasso,2,19:05,PP,,Buffalo Memorial Auditorium
496,1985-01-10,EDM,@,MTL,W,,Wayne Gretzky,23,Mike Krushelnyski,Jari Kurri,Steve Penney,2,4:42,EV,,Montreal Forum
497,1985-01-08,EDM,@,QUE,W,,Wayne Gretzky,23,Jari Kurri,,Dan Bouchard,1,1:46,EV,,Quebec Coliseum
498,1985-01-06,EDM,@,WIN,W,,Wayne Gretzky,23,Paul Coffey,,Marc Behrend,3,7:23,EV,,Winnipeg Arena
499,1984-12-30,EDM,@,VAN,T,OT,Wayne Gretzky,23,Mark Messier,,Richard Brodeur,1,12:41,EV,,Pacific Coliseum
500,1984-12-29,EDM,,DET,W,,Wayne Gretzky,23,Mark Messier,Jari Kurri,Corrado Micalef,2,9:51,PP,,Northlands Coliseum
501,1984-12-29,EDM,,DET,W,,Wayne Gretzky,23,Jari Kurri,Mark Messier,Corrado Micalef,3,1:24,PP,,Northlands Coliseum
502,1984-12-29,EDM,,DET,W,,Wayne Gretzky,23,Jari Kurri,,Corrado Micalef,2,16:30,SH,,Northlands Coliseum
503,1984-12-22,EDM,,CGY,W,,Wayne Gretzky,23,Jari Kurri,Mike Krushelnyski,Don Edwards,3,10:12,EV,,Northlands Coliseum
504,1984-12-22,EDM,,CGY,W,,Wayne Gretzky,23,Mike Krushelnyski,Jari Kurri,Don Edwards,1,3:45,PP,,Northlands Coliseum
505,1984-12-19,EDM,,LAK,W,,Wayne Gretzky,23,Mike Krushelnyski,Jari Kurri,Darren Eliot,3,18:12,EV,,Northlands Coliseum
506,1984-12-19,EDM,,LAK,W,,Wayne Gretzky,23,Pat Hughes,Paul Coffey,Darren Eliot,1,7:42,SH,,Northlands Coliseum
507,1984-12-15,EDM,@,STL,W,,Wayne Gretzky,23,Paul Coffey,Dave Hunter,Rick Wamsley,2,1:15,EV,,St. Louis Arena
508,1984-12-15,EDM,@,STL,W,,Wayne Gretzky,23,Jari Kurri,,Rick Wamsley,2,5:37,EV,,St. Louis Arena
509,1984-12-15,EDM,@,STL,W,,Wayne Gretzky,23,Jari Kurri,,Rick Wamsley,2,15:32,EV,,St. Louis Arena
510,1984-12-15,EDM,@,STL,W,,Wayne Gretzky,23,Jari Kurri,Larry Melnyk,Mike Liut,3,5:42,EV,,St. Louis Arena
511,1984-12-15,EDM,@,STL,W,,Wayne Gretzky,23,,,Rick Wamsley,1,8:23,EV,,St. Louis Arena
512,1984-12-13,EDM,@,LAK,L,,Wayne Gretzky,23,Jari Kurri,Paul Coffey,Bob Janecyk,1,18:47,EV,,Great Western Forum
513,1984-12-07,EDM,,MNS,W,,Wayne Gretzky,23,Dave Hunter,,Roland Melanson,2,7:18,SH,,Northlands Coliseum
514,1984-12-05,EDM,,NYI,W,,Wayne Gretzky,23,Glenn Anderson,Paul Coffey,Billy Smith,2,2:22,PP,,Northlands Coliseum
515,1984-11-27,EDM,@,TOR,W,,Wayne Gretzky,23,Mike Krushelnyski,Jari Kurri,Ken Wregget,1,1:11,EV,,Maple Leaf Gardens
516,1984-11-27,EDM,@,TOR,W,,Wayne Gretzky,23,Mike Krushelnyski,Jari Kurri,Ken Wregget,2,5:57,EV,,Maple Leaf Gardens
517,1984-11-27,EDM,@,TOR,W,,Wayne Gretzky,23,Charlie Huddy,Paul Coffey,Ken Wregget,2,6:51,EV,,Maple Leaf Gardens
518,1984-11-24,EDM,,STL,W,,Wayne Gretzky,23,Mike Krushelnyski,Charlie Huddy,Mike Liut,2,1:46,PP,,Northlands Coliseum
519,1984-11-24,EDM,,STL,W,,Wayne Gretzky,23,Charlie Huddy,,Mike Liut,1,12:23,PP,,Northlands Coliseum
520,1984-11-21,EDM,,WIN,W,,Wayne Gretzky,23,Mike Krushelnyski,Randy Gregg,Marc Behrend,3,1:51,EV,,Northlands Coliseum
521,1984-11-15,EDM,@,CGY,L,,Wayne Gretzky,23,,,Don Edwards,1,16:06,SH,,Olympic Saddledome
522,1984-11-11,EDM,@,PHI,L,,Wayne Gretzky,23,Glenn Anderson,,Pelle Lindbergh,2,8:43,EV,,The Spectrum
523,1984-11-11,EDM,@,PHI,L,,Wayne Gretzky,23,Mike Krushelnyski,,Pelle Lindbergh,3,7:02,EV,,The Spectrum
524,1984-11-09,EDM,@,WSH,W,,Wayne Gretzky,23,Willy Lindstrom,,Pat Riggin,3,2:29,EV,,Capital Center
525,1984-11-09,EDM,@,WSH,W,,Wayne Gretzky,23,Lee Fogolin,,,3,19:12,SH,EN,Capital Center
526,1984-11-06,EDM,@,PIT,T,OT,Wayne Gretzky,23,Jari Kurri,,Denis Herron,3,16:03,EV,,Pittsburgh Civic Arena
527,1984-11-04,EDM,@,WIN,W,,Wayne Gretzky,23,Jari Kurri,,Marc Behrend,2,7:19,EV,,Winnipeg Arena
528,1984-10-30,EDM,,VAN,W,,Wayne Gretzky,23,Jari Kurri,Paul Coffey,Richard Brodeur,2,16:00,EV,,Northlands Coliseum
529,1984-10-21,EDM,,CGY,W,,Wayne Gretzky,23,Jari Kurri,Paul Coffey,Don Edwards,2,12:28,EV,,Northlands Coliseum
530,1984-10-21,EDM,,CGY,W,,Wayne Gretzky,23,Pat Hughes,Lee Fogolin,Don Edwards,2,18:57,SH,,Northlands Coliseum
531,1984-10-19,EDM,@,WIN,W,,Wayne Gretzky,23,,,Brian Hayward,2,19:33,EV,,Winnipeg Arena
532,1984-10-19,EDM,@,WIN,W,,Wayne Gretzky,23,Jari Kurri,Charlie Huddy,,3,18:39,EV,EN,Winnipeg Arena
533,1984-10-18,EDM,@,MNS,W,,Wayne Gretzky,23,,,Don Beaupre,3,12:43,EV,,Metropolitan Sports Center
534,1984-10-18,EDM,@,MNS,W,,Wayne Gretzky,23,Paul Coffey,Charlie Huddy,Don Beaupre,1,7:11,SH,,Metropolitan Sports Center
535,1984-10-18,EDM,@,MNS,W,,Wayne Gretzky,23,Jari Kurri,,Don Beaupre,1,2:17,EV,,Metropolitan Sports Center
536,1984-10-16,EDM,,BOS,W,,Wayne Gretzky,23,,,Cleon Daskalakis,1,6:58,EV,,Northlands Coliseum
537,1984-10-16,EDM,,BOS,W,,Wayne Gretzky,23,Jari Kurri,,Cleon Daskalakis,3,12:51,EV,,Northlands Coliseum
538,1984-10-14,EDM,,QUE,W,,Wayne Gretzky,23,Charlie Huddy,Paul Coffey,Richard Sevigny,3,4:45,EV,,Northlands Coliseum
539,1984-03-27,EDM,@,CGY,W,,Wayne Gretzky,23,Jari Kurri,Raimo Summanen,Don Edwards,3,0:35,EV,,Olympic Saddledome
540,1984-03-27,EDM,@,CGY,W,,Wayne Gretzky,23,Jari Kurri,,Don Edwards,3,19:03,EV,,Olympic Saddledome
541,1984-03-25,EDM,,WIN,W,,Wayne Gretzky,23,Paul Coffey,Glenn Anderson,Doug Soetaert,1,16:56,EV,,Northlands Coliseum
542,1984-03-24,EDM,,STL,L,,Wayne Gretzky,23,Paul Coffey,Ken Linseman,Mike Liut,2,4:28,PP,,Northlands Coliseum
543,1984-03-17,EDM,,LAK,W,,Wayne Gretzky,23,Paul Coffey,Jari Kurri,Markus Mattsson,3,6:20,PP,,Northlands Coliseum
544,1984-03-13,EDM,@,QUE,W,OT,Wayne Gretzky,23,,,Dan Bouchard,1,8:44,PP,,Quebec Coliseum
545,1984-03-11,EDM,,VAN,W,,Wayne Gretzky,23,Paul Coffey,Jari Kurri,John Garrett,2,0:34,EV,,Northlands Coliseum
546,1984-03-11,EDM,,VAN,W,,Wayne Gretzky,23,Jari Kurri,,John Garrett,3,14:01,PP,,Northlands Coliseum
547,1984-03-10,EDM,,NYR,L,,Wayne Gretzky,23,Glenn Anderson,Grant Fuhr,Glen Hanlon,2,18:36,PP,,Northlands Coliseum
548,1984-03-04,EDM,,MTL,W,,Wayne Gretzky,23,Jari Kurri,,Richard Sevigny,3,3:09,EV,,Northlands Coliseum
549,1984-03-04,EDM,,MTL,W,,Wayne Gretzky,23,Paul Coffey,,Richard Sevigny,1,9:58,SH,,Northlands Coliseum
