"Day","Ozone"
380,-21.67418658
381,-11.40455277
382,-18.92023581
383,-16.82654831
384,-12.49023682
385,-18.75681429
386,-9.2019094
387,-18.6237168
388,-17.28783186
389,-15.93542082
390,-17.03638654
391,-18.19962528
392,-18.07906229
393,-14.50494373
394,-14.53754481
395,-1.246355408
396,-5.029183691
397,-3.398100128
398,1.21128922
399,-9.820735573
400,-10.27742194
401,-6.646722718
402,-5.425992035
403,-7.302025748
404,-13.25766381
405,-12.46606799
406,-3.218200482
407,3.7014505738
408,-6.981171097
409,-13.51814439
410,-16.10518426
411,-6.456377709
412,-18.40792492
413,-14.51481784
414,-16.4920756
415,-15.58596908
416,-1.334688719
417,-7.504295059
418,-7.183716429
419,-1.203170314
420,-6.337072004
421,-11.10658532
422,-11.34166337
423,8.8354486574
424,-8.343614703
425,-8.359709946
426,-2.708353994
427,-0.40099081
428,8.6923576684
429,5.7218073031
430,-14.73393834
431,-7.043866325
432,-13.8559016
433,-12.15780665
434,-6.232279015
435,-3.514762945
436,-13.34651074
437,-2.680384485
438,-1.273839936
439,0.1037692147
440,-3.52490609
441,-4.414201822
442,-14.34658575
443,-7.809105003
444,-3.160309748
445,8.3202874698
446,11.591460829
447,-7.65487656
448,5.7737253158
449,-4.64061584
450,-3.663002223
451,-5.52665834
452,-5.816503646
453,-15.602646
454,-13.64792464
455,-9.142786682
456,-8.61259711
457,8.8208760539
458,-17.14027423
459,-3.197073244
460,1.3982476393
461,4.6563581286
462,3.1809208575
463,-4.427552896
464,-12.43512992
465,-8.274971301
466,-9.586607764
467,2.1284326564
468,-0.304115896
469,1.5859321822
470,-0.539325607
471,-2.135040203
472,-4.602894317
473,12.320087791
474,0.7099336522
475,-4.801280519
476,-4.863029311
477,-8.384428883
478,-0.200696838
479,-3.330506107
480,-2.806946917
481,-3.454882531
482,-4.27661008
483,-1.424818695
484,0.5650855327
485,-4.053628764
486,-3.53452294
487,6.4423082879
488,6.451898191
489,9.6182574925
490,6.3088300349
491,-1.089435466
492,-1.275899017
493,5.5730512781
494,24.350300735
495,-0.438168501
496,-6.168073208
497,-5.376406542
498,7.081824338
499,3.6235934583
500,3.7608222612
501,9.9402915527
502,-3.483577783
503,1.2213622404
504,2.9559157191
505,2.9227728581
506,0.6652601249
507,11.665260125
508,16.790326247
509,-6.084739875
510,6.7069267916
511,0.8951896477
512,1.0647766616
513,15.247639299
514,14.032581493
515,17.940129924
516,25.002090539
517,22.97475555
518,22.026226138
519,6.8497555502
520,2.9801903329
521,-1.26407964
522,18.07424816
523,21.080972632
524,25.081926792
525,2.9011449028
526,5.6414222169
527,2.4152601249
528,7.3183840243
529,21.069689042
530,23.439985557
531,26.923051278
532,19.128668522
533,2.2561839744
534,8.034397474
535,13.050199712
536,32.081926792
537,32.288423915
538,25.451251265
539,26.604765731
540,4.3735934583
541,8.3363277534
542,33.116342843
543,-0.244871479
544,-6.931828373
545,8.448528358
546,2.2485934583
547,-1.651079191
548,-3.296912524
549,-2.914769899
550,12.369472985
