r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
2.522973,0.0,1.5213852,0.0,2.0924668,0.0,0.81,20.22,6.136825,2.2397988,0.0,1.2447457,0.0,Infinity,0.0,1.29,19.85,Infinity,NaN,NaN,Infinity
2.561671,0.0,1.5213852,0.0,2.0924668,0.0,0.81,20.24,6.1755233,2.2840903,0.0,1.2447457,0.0,Infinity,0.0,1.29,19.86,Infinity,NaN,NaN,Infinity
2.561671,0.0,1.5213852,0.0,2.0924668,0.0,0.81,20.24,6.1755233,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.9,Infinity,NaN,NaN,Infinity
2.522973,0.0,1.5175097,0.0,2.0924668,0.0,0.81,20.23,6.1329494,2.2840903,0.0,1.2863133,0.0,Infinity,0.0,1.31,19.77,Infinity,NaN,NaN,Infinity
2.561671,0.0,1.5175097,0.0,2.0924668,0.0,0.8,20.25,6.1716475,2.2397988,0.0,1.2404438,0.0,Infinity,0.0,1.29,19.85,Infinity,NaN,NaN,Infinity
2.561671,0.0,1.5175097,0.0,2.0720394,0.0,0.8,20.25,6.1512203,2.2397988,0.0,1.2278804,0.0,Infinity,0.0,1.28,19.88,Infinity,NaN,NaN,Infinity
2.561671,0.0,1.513675,0.0,2.0924668,0.0,0.8,20.27,6.167813,2.2397988,0.0,1.2278804,0.0,Infinity,0.0,1.28,19.89,Infinity,NaN,NaN,Infinity
2.6023524,0.0,1.513675,0.0,2.0720394,0.0,0.79,20.29,6.1880665,2.2397988,0.0,1.2238022,0.0,Infinity,0.0,1.28,19.88,Infinity,NaN,NaN,Infinity
2.6023524,0.0,1.5175097,0.0,2.0720394,0.0,0.78,20.32,6.191901,2.2840903,0.0,1.2238022,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.690401,0.0,1.513675,0.0,2.0720394,0.0,0.77,20.37,6.2761154,2.2840903,0.0,1.2158029,0.0,Infinity,0.0,1.27,19.92,Infinity,NaN,NaN,Infinity
2.7888503,0.0,1.513675,0.0,2.0720394,0.0,0.73,20.48,6.374565,2.2840903,0.0,1.2118795,0.0,Infinity,0.0,1.26,19.94,Infinity,NaN,NaN,Infinity
2.7381988,0.0,1.5098805,0.0,2.0720394,0.0,0.75,20.43,6.320119,2.2840903,0.0,1.2080054,0.0,Infinity,0.0,1.26,19.96,Infinity,NaN,NaN,Infinity
2.7381988,0.0,1.5098805,0.0,2.0720394,0.0,0.74,20.45,6.320119,2.2840903,0.0,1.2041795,0.0,Infinity,0.0,1.26,19.97,Infinity,NaN,NaN,Infinity
2.7888503,0.0,1.5098805,0.0,2.0720394,0.0,0.74,20.46,6.3707705,2.2840903,0.0,1.1966684,0.0,Infinity,0.0,1.25,19.98,Infinity,NaN,NaN,Infinity
2.8426557,0.0,1.502409,0.0,2.0720394,0.0,0.73,20.51,6.417104,2.2397988,0.0,1.1966684,0.0,Infinity,0.0,1.26,19.96,Infinity,NaN,NaN,Infinity
2.8999617,0.0,1.513675,0.0,2.0720394,0.0,0.71,20.54,6.485676,2.2840903,0.0,1.1966684,0.0,Infinity,0.0,1.26,19.97,Infinity,NaN,NaN,Infinity
2.9611716,0.0,1.5061255,0.0,2.0720394,0.0,0.7,20.61,6.539336,2.2840903,0.0,1.1966684,0.0,Infinity,0.0,1.26,19.97,Infinity,NaN,NaN,Infinity
3.0267572,0.0,1.5213852,0.0,2.0720394,0.0,0.68,20.62,6.620182,2.2840903,0.0,1.1966684,0.0,Infinity,0.0,1.25,20.0,Infinity,NaN,NaN,Infinity
3.0267572,0.0,1.5213852,0.0,2.0720394,0.0,0.67,20.66,6.620182,2.2840903,0.0,1.2041795,0.0,Infinity,0.0,1.26,19.98,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5213852,0.0,2.0720394,0.0,0.67,20.67,6.6906986,2.2840903,0.0,1.1966684,0.0,Infinity,0.0,1.25,20.0,Infinity,NaN,NaN,Infinity
