r0_1,r2_1,r6_1,x_1,y_1,totalR_1,r0_2,r2_2,r6_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
4.1318073,1.0763314,1.634124,0.58,21.29,6.8422623,1.6723781,1.2963214,0.5534639,-1.53,23.27,3.5221634,1.0470897,7.7360396,10.364426
4.3319674,1.087599,1.6268746,0.56,21.32,7.0464406,1.6854459,1.3014418,0.59872454,-1.44,23.15,3.5856123,1.0470897,7.7360396,10.632053
4.3319674,1.0934215,1.6268746,0.55,21.33,7.0522633,1.6723781,1.3066428,0.6295916,-1.38,23.04,3.6086125,0.9951257,7.7179966,10.660875
4.5672274,1.1054685,1.6490439,0.55,21.33,7.32174,1.6723781,1.3227513,0.6627458,-1.31,22.93,3.657875,0.9951257,7.7179966,10.979615
4.3319674,1.1417133,1.6197596,0.49,21.37,7.09344,1.6597157,1.3339361,0.70198745,-1.23,22.8,3.6956394,0.95678216,7.655036,10.78908
4.5672274,1.1740985,1.6127744,0.45,21.42,7.3541,1.6474369,1.3455025,0.71831805,-1.2,22.73,3.7112575,0.9497041,7.8782735,11.065357
4.5672274,1.144074,1.6127744,0.48,21.4,7.3240757,1.6597157,1.3574734,0.73066545,-1.18,22.69,3.7478545,0.9497041,7.8782735,11.07193
4.5672274,1.1525003,1.6127744,0.47,21.4,7.332502,1.6597157,1.3574734,0.7395671,-1.16,22.66,3.756756,0.9196512,7.7550206,11.089258
4.5672274,1.1611917,1.6197596,0.47,21.41,7.348179,1.6597157,1.3698742,0.73404354,-1.18,22.69,3.7636335,0.9162892,7.7769594,11.111813
4.5672274,1.1675707,1.6415122,0.48,21.38,7.3763103,1.6597157,1.3698742,0.7108934,-1.24,22.78,3.7404833,0.9162892,7.7769594,11.116794
4.5672274,1.1714691,1.6268746,0.46,21.4,7.365571,1.6723781,1.3762445,0.6907104,-1.29,22.87,3.7393332,0.9288391,7.770976,11.104904
4.5672274,1.1754224,1.634124,0.46,21.4,7.376774,1.6723781,1.3762445,0.6719444,-1.33,22.94,3.720567,0.9288391,7.770976,11.097341
4.3319674,1.1834995,1.6268746,0.45,21.4,7.142341,1.6854459,1.3893435,0.65085775,-1.38,23.02,3.7256472,0.93811345,7.7374763,10.867989
4.3319674,1.1848683,1.634124,0.46,21.39,7.15096,1.6854459,1.39608,0.6473505,-1.39,23.03,3.7288764,0.9649694,7.8987064,10.879836
4.3319674,1.1918133,1.634124,0.45,21.4,7.1579046,1.6723781,1.39608,0.6152634,-1.45,23.13,3.6837215,0.9649694,7.8987064,10.841626
4.3319674,1.196063,1.634124,0.45,21.4,7.162154,1.6854459,1.4029468,0.5882326,-1.51,23.23,3.6766253,0.9710139,7.8710804,10.838779
4.3319674,1.2018291,1.634124,0.44,21.4,7.16792,1.6854459,1.4029468,0.5690776,-1.55,23.28,3.6574702,0.9710139,7.8710804,10.82539
4.3319674,1.204756,1.634124,0.44,21.4,7.170847,1.6854459,1.4099483,0.5534639,-1.58,23.33,3.648858,0.9843337,7.8345833,10.819705
4.3319674,1.2107004,1.634124,0.43,21.41,7.176792,1.6854459,1.4170893,0.5279895,-1.63,23.4,3.6305246,0.9870219,7.8288116,10.807317
4.3319674,1.2122056,1.634124,0.43,21.4,7.178297,1.6854459,1.4170893,0.4985716,-1.67,23.47,3.601107,0.9870219,7.8288116,10.779404
4.1318073,1.2167691,1.6415122,0.44,21.39,6.9900885,1.6854459,1.4170893,0.46442053,-1.73,23.56,3.5669558,1.0019641,7.7781997,10.557044
