Neighborhood,crime10,crime11,crime12,crime13,crime14,viol10,viol11,viol12,viol13,viol14,prop11,prop12,prop13,prop14,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,domvio12,shoot11,shoot12,caslt11,caslt12,narc11,narc12,caracc11,caracc12,gunhom11,gunhom12,gunhom13,gunhom14,arrest14
Fells Point,62.3,87.8,91,78.2,71,13.5,17.5,17.5,15.4,13.5,70.4,73.6,61.7,57,27.5,3.9,3.9,40.5,39.9,48.7,0.6,0.2,74.8,81,13.5,13.6,49.9,50.6,0,0,0.2,,23.5
Forest Park/Walbrook,48.7,45.3,46.8,51.4,50,10.4,11.8,11.8,13.1,11.8,33.5,35,37.6,37.8,27.4,4.7,5.7,51.4,51.1,56.7,3.5,3.5,74.1,88.2,91.1,63,31.6,32.3,0.6,0.8,0.3,0.4,24.8
Glen-Fallstaff,53.6,51.6,55,58.3,51.8,11.7,11.4,13.3,12.2,11.3,40.2,41.6,44.9,39.8,41.4,4.8,8.3,47.2,49.3,47.7,0.5,1.1,70.7,70.5,54,48.9,72.6,72.1,0.1,0,0.2,0.1,22.4
Greater Charles Village/Barclay,74.3,67.3,69.2,70.1,68.8,17.1,15.2,16.2,14.9,16.7,52.1,53,54.1,51.6,324,98,46,43.3,41.3,47,1.7,1.8,76.4,84.8,59.7,59.2,53.9,51.6,0.2,0.3,0.3,0.2,34.9
Greater Govans,42.2,38.2,44.4,40,39.9,12.1,9.2,11.2,9.8,9,29,33.1,29.8,30.6,39.8,13.9,13.9,45,42.6,45.6,2.4,1.7,66.9,70.7,51.5,78.3,34.1,28.6,0.2,0.3,0.2,0.4,58.7
Greater Mondawmin,112.4,107.1,98.6,93.9,102.9,24.8,22,27.6,25.3,27.4,85.1,71,67.5,74.2,144.4,22,38.7,62.5,65.5,60.5,3,3.3,132.5,129.5,169.9,168.1,108.3,94.9,0.2,0.4,1,0.2,84.4
Greater Roland Park/Poplar Hill,32.1,28.6,29.4,30.8,28.2,2,3.7,2,2.3,2.2,24.9,27.4,28.3,26,21.6,9.3,3.1,32.5,29,28.5,0.1,,15.6,14.5,1.6,1.9,69.3,29,0,0,0,,3.3
Greater Rosemont,63.5,66.4,60,63.2,63,19.5,19,16.9,19.5,18.5,47.4,43.1,42.9,43.4,107.9,21.6,36.7,64.3,62.6,56.9,4.2,3.8,114.8,114.5,148,168.6,37.7,39.2,0.4,0.6,0.6,0.4,56.8
Greenmount East,57.4,67.4,87.5,79.7,66.5,19.7,22.7,26.1,27,19.6,44.7,61.3,51.7,46.2,116.6,7.2,66,50,63.1,70.9,5.9,12.1,133.1,156.4,222.5,217.1,80.9,91.6,0.5,1.3,1,0.2,81.9
Hamilton,40.8,45.4,42.1,47.2,50.1,9.5,7.5,7.2,9.6,9.5,37.9,34.9,36.3,39.9,28,4.7,3.3,42.5,43.8,46.5,0.5,0.5,10.5,50.1,35.1,32.7,42.1,35.8,0.1,0.2,0.1,0.1,14.8
Harbor East/Little Italy,119.3,165.3,139.3,155.5,159.4,28.5,24,27.2,32.2,28.1,141.3,112.1,119.5,129.5,116.9,49.8,17.3,74.9,75.5,67,2.2,0.4,149.4,139.3,38.7,42,93,117.3,0,0.2,0.4,,90.7
Harford/Echodale,41.5,49.3,41.5,45.6,44.2,10.7,11.9,7.3,9.6,8.8,37.4,34.1,35.2,34.6,47.2,10.1,9.4,44.1,49.2,46.9,1.1,0.8,43.6,55.1,29,23,28.1,28,0.2,0.1,0.2,0.1,25.7
