"MONDAY, MARCH 12"
"Shower","0:55","1:15",0:20
"Browsing","1:15","3:05",1:50
"Sleeping","3:05","8:50",5:45
"Shower","8:50","9:25",0:35
"Travel","9:25","10:00",0:35
"Homework","10:00","12:25",2:25
"Travel","12:25","13:00",0:35
"Eating","13:00","13:35",0:35
"Travel","13:35","13:55",0:20
"Browsing","13:55","15:35",1:40
"Travel","15:35","17:45",2:10
"Socializing","17:45","18:30",0:45
"Eating","18:30","19:00",0:30
"Socializing","19:00","20:00",1:00
"Browsing","20:00","21:20",1:20
"Socializing","21:20","22:00",0:40
"Travel","22:00","22:45",0:45
"Browsing","22:45","1:00",1:15
Total,24:00

"SATURDAY, MARCH 31"
"Browsing","22:45","1:00",1:00
"Shower","1:00","1:20",0:20
"Education","1:20","2:15",0:55
"Socializing","2:15","2:35",0:20
"Sleeping","2:35","9:50",7:15
"Browsing","9:50","12:20",2:30
"Shower","12:20","12:45",0:25
"Socializing","12:45","12:55",0:10
"Eating","12:55","13:15",0:20
"Browsing","13:15","14:35",1:20
"Homework","14:35","16:15",1:40
"Eating","16:15","17:30",1:15
"Browsing","17:30","17:40",0:10
"Homework","17:40","18:25",0:45
"Browsing","18:25","18:40",0:15
"Homework","18:40","20:00",1:20
"Eating","20:00","20:20",0:20
"Socializing","20:20","22:40",2:20
"Homework","22:40","23:55",1:15
"Shower","23:55","0:15",0:05
Total,24:00

"SUNDAY, APRIL 1"
"Shower","23:55","0:15",0:15
"Homework","0:15","2:15",2:00
"Sleeping","2:15","10:15",8:00
"Browsing","10:15","11:15",1:00
"Shower","11:15","11:40",0:25
"Eating","11:40","11:50",0:10
"Homework","11:50","13:20",1:30
"Eating","13:20","13:35",0:15
"Homework","13:35","18:30",4:55
"Browsing","18:30","19:05",0:35
"Homework","19:05","20:10",1:05
"Browsing","20:10","0:25",3:50
Total,24:00

"MONDAY, APRIL 2"
"Browsing","20:10","0:25",0:25
"Shower","0:25","0:45",0:20
"Browsing","0:45","2:40",1:55
"Sleeping","2:40","8:40",6:00
"Browsing","8:40","9:00",0:20
"Shower","9:00","9:20",0:20
"Browsing","9:20","12:00",2:40
"Eating","12:00","12:20",0:20
"Browsing","12:20","20:30",8:10
"Eating","20:30","20:55",0:25
"Browsing","20:55","0:30",3:05
Total,24:00

"TUESDAY, APRIL 3"
"Browsing","20:55","0:30",0:30
"Shower","0:30","0:50",0:20
"Education","0:50","1:00",0:10
"Browsing","1:00","1:40",0:40
"Sleeping","1:40","7:50",6:10
"Shower","7:50","8:05",0:15
"Eating","8:05","8:25",0:20
"Travel","8:25","9:00",0:35
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Exercising","15:15","17:00",1:45
"Travel","17:00","17:40",0:40
"Socializing","17:40","18:10",0:30
"Shower","18:10","19:10",1:00
"Socializing","19:10","19:20",0:10
"Homework","19:20","19:50",0:30
"Eating","19:50","20:15",0:25
"Homework","20:15","20:30",0:15
"Shower","20:30","20:35",0:05
"Homework","20:35","22:55",2:20
"Browsing","22:55","0:00",1:05
Total,24:00

"WEDNESDAY, APRIL 4"
"Homework","0:00","1:55",1:55
"Sleeping","1:55","8:05",6:10
"Shower","8:05","8:25",0:20
"Eating","8:25","8:50",0:25
"Travel","8:50","9:30",0:40
"Education","9:30","14:00",4:30
"Travel","14:00","14:25",0:25
"Socializing","14:25","15:05",0:40
"Exercising","15:05","16:00",0:55
"Education","16:00","16:25",0:25
"Socializing","16:25","16:50",0:25
"Travel","16:50","17:25",0:35
"Socializing","17:25","17:40",0:15
"Homework","17:40","18:40",1:00
"Sleeping","18:40","19:50",1:10
"Homework","19:50","20:10",0:20
"Eating","20:10","20:35",0:25
"Homework","20:35","22:00",1:25
"Shower","22:00","22:35",0:35
"Homework","22:35","2:30",1:25
Total,24:00

"THURSDAY, APRIL 5"
"Homework","22:35","2:30",2:30
"Sleeping","2:30","13:45",11:15
"Shower","13:45","14:00",0:15
"Eating","14:00","14:15",0:15
"Travel","14:15","14:50",0:35
"Education","14:50","17:00",2:10
"Travel","17:00","17:50",0:50
"Socializing","17:50","18:30",0:40
"Homework","18:30","20:35",2:05
"Eating","20:35","21:05",0:30
"Homework","21:05","23:00",1:55
"Socializing","23:00","0:00",1:00
Total,24:00

"FRIDAY, APRIL 6"
"Work","0:00","0:40",0:40
"Shower","0:40","1:05",0:25
"Homework","1:05","2:20",1:15
"Education","2:20","2:35",0:15
"Sleeping","2:35","7:50",5:15
"Shower","7:50","8:15",0:25
"Eating","8:15","8:25",0:10
"Travel","8:25","9:00",0:35
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Socializing","15:15","16:00",0:45
"Homework","16:00","18:00",2:00
"Travel","18:00","18:35",0:35
"Shower","18:35","19:00",0:25
"Browsing","19:00","19:40",0:40
"Eating","19:40","20:10",0:30
"Browsing","20:10","0:15",3:50
Total,24:00

"SATURDAY, APRIL 7"
"Browsing","20:10","0:15",0:15
"Shower","0:15","0:40",0:25
"Browsing","0:40","4:25",3:45
"Sleeping","4:25","12:00",7:35
"Browsing","12:00","15:35",3:35
"Homework","15:35","15:50",0:15
"Exercising","15:50","16:05",0:15
"Shower","16:05","16:20",0:15
"Socializing","16:20","17:10",0:50
"Eating","17:10","17:15",0:05
"Homework","17:15","20:00",2:45
"Eating","20:00","20:15",0:15
"Homework","20:15","20:45",0:30
"Eating","20:45","21:00",0:15
"Homework","21:00","21:30",0:30
"Socializing","21:30","23:10",1:40
"Homework","23:10","0:00",0:50
Total,24:00

"SUNDAY, APRIL 8"
"Browsing","0:00","1:30",1:30
"Homework","1:30","3:35",2:05
"Sleeping","3:35","8:20",4:45
"Browsing","8:20","8:40",0:20
"Shower","8:40","9:15",0:35
"Travel","9:15","10:00",0:45
"Education","10:00","13:00",3:00
"Eating","13:00","14:00",1:00
"Browsing","14:00","15:10",1:10
"Homework","15:10","16:50",1:40
"Browsing","16:50","18:25",1:35
"Travel","18:25","19:00",0:35
"Socializing","19:00","19:15",0:15
"Browsing","19:15","21:20",2:05
"Eating","21:20","22:00",0:40
"Homework","22:00","0:35",2:00
Total,24:00

"MONDAY, APRIL 9"
"Homework","22:00","0:35",0:35
"Socializing","0:35","1:00",0:25
"Shower","1:00","1:10",0:10
"Browsing","1:10","1:30",0:20
"Sleeping","1:30","7:45",6:15
"Shower","7:45","8:15",0:30
"Eating","8:15","8:25",0:10
"Travel","8:25","9:00",0:35
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","14:45",2:05
"Exercising","14:45","16:30",1:45
"Socializing","16:30","17:10",0:40
"Travel","17:10","17:50",0:40
"Browsing","17:50","19:45",1:55
"Eating","19:45","20:15",0:30
"Browsing","20:15","0:35",3:45
Total,24:00

"TUESDAY, APRIL 10"
"Browsing","20:15","0:35",0:35
"Shower","0:35","1:00",0:25
"Socializing","1:00","1:20",0:20
"Education","1:20","1:35",0:15
"Sleeping","1:35","10:00",8:25
"Education","10:00","10:30",0:30
"Browsing","10:30","11:00",0:30
"Education","11:00","11:15",0:15
"Socializing","11:15","11:30",0:15
"Shower","11:30","11:55",0:25
"Eating","11:55","12:10",0:15
"Travel","12:10","12:45",0:35
"Education","12:45","15:15",2:30
"Travel","15:15","16:00",0:45
"Eating","16:00","16:05",0:05
"Shower","16:05","17:05",1:00
"Eating","17:05","17:15",0:10
"Homework","17:15","20:15",3:00
"Eating","20:15","21:20",1:05
"Homework","21:20","22:35",1:15
"Socializing","22:35","22:50",0:15
"Homework","22:50","1:35",1:10
Total,24:00

"WEDNESDAY, APRIL 11"
"Homework","22:50","1:35",1:35
"Browsing","1:35","1:50",0:15
"Sleeping","1:50","8:15",6:25
"Shower","8:15","8:25",0:10
"Travel","8:25","9:05",0:40
"Education","9:05","11:40",2:35
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Travel","15:15","16:05",0:50
"Socializing","16:05","17:00",0:55
"Homework","17:00","18:30",1:30
"Browsing","18:30","20:25",1:55
"Homework","20:25","20:40",0:15
"Eating","20:40","20:50",0:10
"Homework","20:50","23:45",2:55
"Shower","23:45","0:10",0:15
Total,24:00

"THURSDAY, APRIL 12"
"Shower","23:45","0:10",0:10
"Homework","0:10","2:00",1:50
"Browsing","2:00","2:15",0:15
"Sleeping","2:15","8:45",6:30
"Shower","8:45","9:10",0:25
"Eating","9:10","9:20",0:10
"Travel","9:20","10:00",0:40
"Education","10:00","12:10",2:10
"Eating","12:10","13:10",1:00
"Education","13:10","15:15",2:05
"Travel","15:15","16:00",0:45
"Eating","16:00","16:15",0:15
"Socializing","16:15","16:20",0:05
"Homework","16:20","21:00",4:40
"Eating","21:00","21:10",0:10
"Homework","21:10","23:00",1:50
"Socializing","23:00","23:20",0:20
"Homework","23:20","0:25",0:40
Total,24:00

"FRIDAY, APRIL 13"
"Homework","23:20","0:25",0:25
"Browsing","0:25","0:45",0:20
"Shower","0:45","1:15",0:30
"Browsing","1:15","1:30",0:15
"Sleeping","1:30","7:45",6:15
"Shower","7:45","8:05",0:20
"Eating","8:05","8:20",0:15
"Travel","8:20","9:00",0:40
"Education","9:00","11:40",2:40
"Eating","11:40","12:40",1:00
"Education","12:40","15:15",2:35
"Homework","15:15","17:40",2:25
"Travel","17:40","18:55",1:15
"Socializing","18:55","19:15",0:20
"Browsing","19:15","19:45",0:30
"Eating","19:45","20:25",0:40
"Browsing","20:25","21:50",1:25
"Shower","21:50","22:40",0:50
"Browsing","22:40","1:25",1:20
Total,24:00

"SATURDAY, APRIL 14"
"Browsing","22:40","1:25",1:25
"Sleeping","1:25","6:25",5:00
"Shower","6:25","6:55",0:30
"Travel","6:55","8:00",1:05
"Socializing","8:00","17:00",9:00
"Travel","17:00","17:50",0:50
"Browsing","17:50","18:40",0:50
"Socializing","18:40","19:25",0:45
"Eating","19:25","19:35",0:10
"Homework","19:35","20:30",0:55
"Socializing","20:30","21:45",1:15
"Homework","21:45","23:00",1:15
"Socializing","23:00","23:55",0:55
"Shower","23:55","0:25",0:05
Total,24:00

"SUNDAY, APRIL 15"
"Shower","23:55","0:25",0:25
"Homework","0:25","0:45",0:20
"Browsing","0:45","2:55",2:10
"Sleeping","2:55","14:20",11:25
"Shower","14:20","14:45",0:25
"Socializing","14:45","14:55",0:10
"Homework","14:55","20:45",5:50
"Browsing","20:45","20:50",0:05
"Eating","20:50","21:10",0:20
"Socializing","21:10","23:20",2:10
